          1) 5e - 01011110 -   5
          2) 7a - 01111010 -   5
          3) 1e - 00011110 -   4
          4) 03 - 00000011 -   2
          5) f1 - 11110001 -   5
          6) e1 - 11100001 -   4
          7) 46 - 01000110 -   3
          8) 39 - 00111001 -   4
          9) c1 - 11000001 -   3
         10) 6b - 01101011 -   5
         11) 4c - 01001100 -   3
         12) 16 - 00010110 -   3
         13) 4c - 01001100 -   3
         14) c7 - 11000111 -   5
         15) ce - 11001110 -   5
         16) a8 - 10101000 -   3
         17) 51 - 01010001 -   3
         18) 95 - 10010101 -   4
         19) 1a - 00011010 -   3
         20) 84 - 10000100 -   2
         21) 0d - 00001101 -   3
         22) 39 - 00111001 -   4
         23) d2 - 11010010 -   4
         24) a1 - 10100001 -   3
         25) b9 - 10111001 -   5
         26) 77 - 01110111 -   6
         27) 44 - 01000100 -   2
         28) fd - 11111101 -   7
         29) d3 - 11010011 -   5
         30) ba - 10111010 -   5
         31) 8b - 10001011 -   4
         32) f2 - 11110010 -   5
         33) f7 - 11110111 -   7
         34) 3e - 00111110 -   5
         35) ab - 10101011 -   5
         36) ef - 11101111 -   7
         37) f8 - 11111000 -   5
         38) 27 - 00100111 -   4
         39) 85 - 10000101 -   3
         40) c5 - 11000101 -   4
         41) 96 - 10010110 -   4
         42) e8 - 11101000 -   4
         43) da - 11011010 -   5
         44) de - 11011110 -   6
         45) 41 - 01000001 -   2
         46) 3d - 00111101 -   5
         47) 03 - 00000011 -   2
         48) 59 - 01011001 -   4
         49) 4e - 01001110 -   4
         50) 88 - 10001000 -   2
         51) c4 - 11000100 -   3
         52) 5f - 01011111 -   6
         53) 3e - 00111110 -   5
         54) 92 - 10010010 -   3
         55) 61 - 01100001 -   3
         56) ec - 11101100 -   5
         57) f7 - 11110111 -   7
         58) 3c - 00111100 -   4
         59) d7 - 11010111 -   6
         60) 87 - 10000111 -   4
         61) f0 - 11110000 -   4
         62) 63 - 01100011 -   4
         63) 9e - 10011110 -   5
         64) de - 11011110 -   6
         65) 10 - 00010000 -   1
         66) 7b - 01111011 -   6
         67) a2 - 10100010 -   3
         68) 6a - 01101010 -   4
         69) 43 - 01000011 -   3
         70) c8 - 11001000 -   3
         71) 30 - 00110000 -   2
         72) 97 - 10010111 -   5
         73) 0c - 00001100 -   2
         74) 4b - 01001011 -   4
         75) 44 - 01000100 -   2
         76) 86 - 10000110 -   3
         77) 7d - 01111101 -   6
         78) 87 - 10000111 -   4
         79) 5b - 01011011 -   5
         80) ec - 11101100 -   5
         81) 77 - 01110111 -   6
         82) 40 - 01000000 -   1
         83) 6a - 01101010 -   4
         84) 67 - 01100111 -   5
         85) 81 - 10000001 -   2
         86) 72 - 01110010 -   4
         87) d7 - 11010111 -   6
         88) 38 - 00111000 -   3
         89) b7 - 10110111 -   6
         90) a2 - 10100010 -   3
         91) b0 - 10110000 -   3
         92) 55 - 01010101 -   4
         93) d5 - 11010101 -   5
         94) bb - 10111011 -   6
         95) ec - 11101100 -   5
         96) b3 - 10110011 -   5
         97) 6e - 01101110 -   5
         98) a1 - 10100001 -   3
         99) 2a - 00101010 -   3
        100) 32 - 00110010 -   3
